Project,Applicant Type,OSS Directory,Link,Githubs,Tags
nove,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xcC1ec0B04fa0C602c23D4DeBbf91E6844af48b39.json,https://github.com/novepras/hutao1,
zoldyx,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xe0B536a468496F9E9590f62e3b97f4A085b30283.json,https://github.com/anotherplnt/optimism,
sonmmo,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xD0F02cb782fBa0F7DbCa1ECCfCB192b7cf007d91.json,https://github.com/caotre/blockspace-race/blob/main/light-node.md#submit-a-payforblob-transaction,
Abhinav,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x23583685Ff8d24cD53B9809D2686fB03746E069e.json,"https://github.com/abhinav-woodstock/awesome-optimism/blob/main/README.md, https://github.com/lucas-op/awesome-optimism/blob/main/README.md",
Taz,INDIVIDUAL,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xFab488A8Eb04c6c211CBFd15B1da021A9CC0Bd0c.json,https://github.com/stakewithus/notes,
draper,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xB7A31346433430D92846f0181C55Fc506B9b22d8.json,https://github.com/smoldapp,
Gaslite,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x3d4aaFbe86059d17C6263332c560f18C4F1Fec34.json,https://github.com/PopPunkLLC/GasliteDrop,
KeplerHomes,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x4A74232c96AEFa239DCee6da120Ec31dB56ff17E.json,https://github.com/kepler-homes/,
nic,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xD2A333009E5cEEF7EDfD6f82489005d1DC6ae9E8.json,"https://github.com/size-market/sybil-interface, https://github.com/size-market/gas-zip-backend",
Próspera Grant Program,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xCb94B70cf011c3Ee99357499d060345daD585C6d.json,https://github.com/mubcar?tab=repositories,
